Transaction_ID,User_ID,Payment_Method,Amount,Success,Timestamp
TXN00036,U8301,Debit Card,3860.3,1,2025-09-17 09:44:00
TXN00037,U2125,Net Banking,2600.07,1,2025-09-16 21:01:00
TXN00038,U7122,Debit Card,2285.95,1,2025-09-16 12:08:00
TXN00039,U3416,Credit Card,1659.37,0,2025-09-17 08:19:00
TXN00040,U9236,Credit Card,2953.37,1,2025-09-16 18:57:00
TXN00041,U5514,UPI,3783.34,1,2025-09-16 10:48:00
TXN00042,U1497,Debit Card,3380.42,1,2025-09-17 04:46:00
TXN00043,U8444,Debit Card,532.55,0,2025-09-17 05:13:00
TXN00044,U5493,UPI,2641.44,1,2025-09-17 03:16:00
TXN00045,U4507,Credit Card,4132.36,1,2025-09-16 17:10:00
TXN00046,U5980,UPI,385.62,1,2025-09-17 02:52:00
TXN00047,U7089,Wallet,391.94,1,2025-09-16 23:27:00
TXN00048,U4343,Net Banking,4873.9,0,2025-09-16 22:24:00
TXN00049,U2208,UPI,1684.02,1,2025-09-17 06:54:00
TXN00050,U8782,Debit Card,1561.2,1,2025-09-16 12:46:00
TXN00051,U3176,Credit Card,2908.5,1,2025-09-17 09:48:00
TXN00052,U9169,UPI,4119.43,1,2025-09-17 02:46:00
TXN00053,U6886,Credit Card,2578.52,1,2025-09-17 08:13:00
TXN00054,U3644,UPI,3129.24,0,2025-09-17 00:55:00
TXN00055,U2628,Wallet,3207.69,1,2025-09-17 08:54:00
TXN00056,U2588,UPI,1515.56,1,2025-09-16 18:44:00
TXN00057,U6881,Debit Card,3597.09,1,2025-09-16 23:07:00
TXN00058,U6129,Wallet,4926.05,1,2025-09-16 13:41:00
TXN00059,U5411,Debit Card,1562.26,1,2025-09-16 21:47:00
TXN00060,U2846,Wallet,1870.22,1,2025-09-16 10:05:00
TXN00061,U4536,Debit Card,1381.37,1,2025-09-17 05:52:00
TXN00062,U4018,Wallet,2007.52,1,2025-09-16 19:00:00
TXN00063,U6769,Debit Card,4418.22,1,2025-09-17 07:02:00
TXN00064,U9497,Debit Card,1070.91,1,2025-09-16 17:18:00
TXN00065,U9836,UPI,1662.84,1,2025-09-16 17:28:00
TXN00066,U4653,UPI,3577.8,1,2025-09-16 17:23:00
TXN00067,U2709,Net Banking,1327.82,1,2025-09-16 11:30:00
TXN00068,U7353,Debit Card,2253.7,1,2025-09-16 14:55:00
TXN00069,U8729,Credit Card,3912.5,0,2025-09-16 17:41:00
TXN00070,U6833,UPI,2147.59,1,2025-09-16 10:17:00
TXN00071,U2823,Debit Card,2976.81,0,2025-09-16 10:29:00
TXN00072,U7487,UPI,3928.13,1,2025-09-16 17:36:00
TXN00073,U8548,UPI,1264.73,1,2025-09-17 07:47:00
TXN00074,U8008,Net Banking,3773.3,1,2025-09-16 12:07:00
TXN00075,U5753,UPI,4990.79,1,2025-09-17 08:05:00
TXN00076,U7114,Net Banking,2851.86,1,2025-09-16 10:44:00
TXN00077,U4094,UPI,4314.68,1,2025-09-16 20:14:00
TXN00078,U4973,Credit Card,4370.87,1,2025-09-17 02:15:00
TXN00079,U1500,UPI,2090.75,1,2025-09-17 09:34:00
TXN00080,U8974,Credit Card,1658.25,0,2025-09-16 16:19:00
TXN00081,U9332,UPI,4495.05,1,2025-09-17 07:18:00
TXN00082,U8345,Credit Card,855.72,1,2025-09-17 03:12:00
TXN00083,U6601,Wallet,422.72,1,2025-09-17 03:06:00
TXN00084,U5629,Net Banking,2961.57,1,2025-09-16 20:01:00
TXN00085,U8245,Net Banking,339.08,1,2025-09-17 02:55:00
TXN00086,U7026,Credit Card,3155.57,1,2025-09-16 23:29:00
TXN00087,U7104,Net Banking,2071.53,1,2025-09-16 22:10:00
TXN00088,U3079,Debit Card,2967.85,1,2025-09-17 05:26:00
TXN00089,U7440,UPI,4187.87,1,2025-09-16 10:29:00
TXN00090,U6078,Credit Card,3363.33,1,2025-09-16 12:01:00
TXN00091,U3490,Wallet,1786.28,1,2025-09-17 06:34:00
TXN00092,U3571,Debit Card,3727.48,1,2025-09-17 02:20:00
TXN00093,U5827,Net Banking,1184.26,1,2025-09-16 12:56:00
TXN00094,U4151,Wallet,3188.56,1,2025-09-16 14:57:00
TXN00095,U3922,UPI,874.3,1,2025-09-16 21:58:00
TXN00096,U1909,UPI,1415.6,1,2025-09-16 14:22:00
TXN00097,U2689,Net Banking,4948.9,1,2025-09-16 15:33:00
TXN00098,U4412,Debit Card,3632.26,1,2025-09-17 08:50:00
TXN00099,U2162,UPI,269.13,0,2025-09-16 21:47:00
TXN00100,U1128,Credit Card,1298.92,1,2025-09-17 02:36:00
TXN00101,U1579,Net Banking,1451.7,1,2025-09-16 15:42:00
TXN00102,U4414,Credit Card,1654.04,1,2025-09-16 21:20:00
TXN00103,U2493,UPI,386.91,1,2025-09-16 23:26:00
TXN00104,U3181,UPI,1370.76,1,2025-09-16 16:39:00
TXN00105,U5451,Wallet,1276.6,1,2025-09-16 20:36:00
TXN00106,U3677,Net Banking,2381.42,1,2025-09-16 14:28:00
TXN00107,U5617,Wallet,2843.76,1,2025-09-16 13:16:00
TXN00108,U1780,Debit Card,3225.47,1,2025-09-16 11:25:00
TXN00109,U8607,UPI,2489.99,1,2025-09-16 22:10:00
TXN00110,U9797,UPI,4199.17,1,2025-09-16 18:10:00
TXN00111,U2279,Credit Card,2952.59,1,2025-09-16 15:15:00
TXN00112,U9753,UPI,1637.04,1,2025-09-16 18:12:00
TXN00113,U4390,Wallet,2600.98,1,2025-09-16 15:32:00
TXN00114,U6696,Wallet,4112.14,1,2025-09-16 13:20:00
TXN00115,U3938,Net Banking,3532.11,1,2025-09-17 05:39:00
TXN00116,U3783,Credit Card,986.14,0,2025-09-16 16:05:00
TXN00117,U9887,Credit Card,4452.88,1,2025-09-17 05:37:00
TXN00118,U2532,UPI,1983.99,1,2025-09-16 13:18:00
TXN00119,U8374,Net Banking,4488.87,0,2025-09-17 00:02:00
TXN00120,U3255,Debit Card,2418.69,1,2025-09-16 17:39:00
TXN00121,U7734,Net Banking,348.83,1,2025-09-16 12:08:00
TXN00122,U4564,Net Banking,4285.13,1,2025-09-16 13:06:00
TXN00123,U4872,Wallet,1728.36,1,2025-09-16 23:57:00
TXN00124,U3873,Debit Card,646.47,1,2025-09-17 00:26:00
TXN00125,U4532,Debit Card,4517.84,1,2025-09-16 18:18:00
TXN00126,U3337,Credit Card,1695.31,1,2025-09-16 23:26:00
TXN00127,U4574,Wallet,3519.06,1,2025-09-16 13:13:00
TXN00128,U2011,UPI,3787.77,1,2025-09-17 01:12:00
TXN00129,U2300,UPI,3825.74,1,2025-09-16 12:31:00
TXN00130,U4828,Debit Card,3374.99,1,2025-09-16 13:53:00
TXN00131,U9548,Wallet,1465.28,1,2025-09-16 21:23:00
TXN00132,U1159,Debit Card,3617.11,1,2025-09-16 11:43:00
TXN00133,U5105,Debit Card,4877.68,1,2025-09-16 20:58:00
TXN00134,U1498,Net Banking,3709.56,1,2025-09-16 10:09:00
TXN00135,U3152,Credit Card,4068.09,0,2025-09-17 01:42:00
TXN00136,U1642,Net Banking,4676.53,1,2025-09-16 14:14:00
TXN00137,U7846,Wallet,2801.65,1,2025-09-17 01:44:00
TXN00138,U5476,Net Banking,2604.24,1,2025-09-16 19:13:00
TXN00139,U4782,Wallet,2239.33,0,2025-09-16 14:45:00
TXN00140,U2705,Wallet,3388.38,1,2025-09-17 02:13:00
TXN00141,U2922,Wallet,3949.68,1,2025-09-16 16:23:00
TXN00142,U3731,Net Banking,2632.33,0,2025-09-17 00:30:00
TXN00143,U2834,UPI,3458.63,1,2025-09-17 09:10:00
TXN00144,U6625,Wallet,1810.55,1,2025-09-16 14:29:00
TXN00145,U4381,UPI,1237.53,1,2025-09-16 20:06:00
TXN00146,U6928,Wallet,3388.68,1,2025-09-16 10:19:00
TXN00147,U7628,Credit Card,840.35,1,2025-09-16 21:47:00
TXN00148,U6473,UPI,241.23,1,2025-09-17 04:51:00
TXN00149,U1649,Credit Card,116.52,1,2025-09-16 12:59:00
TXN00150,U2146,Net Banking,2311.96,1,2025-09-16 18:35:00
TXN00151,U9887,Wallet,2957.08,1,2025-09-16 12:45:00
TXN00152,U4489,Wallet,1818.55,1,2025-09-17 02:46:00
TXN00153,U2301,Net Banking,3719.78,1,2025-09-16 23:23:00
TXN00154,U6430,Wallet,2409.95,1,2025-09-16 10:56:00
TXN00155,U7344,Net Banking,2237.77,1,2025-09-16 22:06:00
TXN00156,U9154,UPI,2020.79,1,2025-09-16 11:37:00
TXN00157,U9862,UPI,1409.46,1,2025-09-17 04:16:00
TXN00158,U9007,Credit Card,3878.25,1,2025-09-17 00:07:00
TXN00159,U9859,Wallet,1256.97,1,2025-09-16 10:04:00
TXN00160,U9238,Debit Card,4075.29,1,2025-09-17 07:05:00
TXN00161,U1721,UPI,4104.66,0,2025-09-17 03:05:00
TXN00162,U9007,Net Banking,4400.87,1,2025-09-16 11:04:00
TXN00163,U8752,Net Banking,2021.74,1,2025-09-17 02:51:00
TXN00164,U6027,UPI,560.29,1,2025-09-16 20:23:00
TXN00165,U3701,UPI,1460.46,1,2025-09-16 13:10:00
TXN00166,U8145,Wallet,4870.61,1,2025-09-16 10:56:00
TXN00167,U5869,UPI,4833.13,1,2025-09-16 17:02:00
TXN00168,U8307,Net Banking,3984.53,1,2025-09-17 00:44:00
TXN00169,U8419,Net Banking,1039.38,1,2025-09-17 09:53:00
TXN00170,U3974,Wallet,3624.35,1,2025-09-16 20:43:00
TXN00171,U6810,Credit Card,4589.57,1,2025-09-16 20:36:00
TXN00172,U8864,Wallet,2574.11,0,2025-09-17 07:51:00
TXN00173,U4094,Wallet,4667.5,1,2025-09-16 15:30:00
TXN00174,U9194,Credit Card,460.31,1,2025-09-16 11:44:00
TXN00175,U7095,Wallet,978.94,1,2025-09-16 17:28:00
TXN00176,U9955,Credit Card,1033.1,0,2025-09-16 16:15:00
TXN00177,U7464,UPI,3602.03,1,2025-09-17 07:10:00
TXN00178,U1509,Wallet,4235.2,1,2025-09-16 19:53:00
TXN00179,U5190,Net Banking,2091.43,0,2025-09-16 11:09:00
TXN00180,U3404,Net Banking,2478.46,1,2025-09-16 21:19:00
TXN00181,U1846,Net Banking,1302.98,1,2025-09-17 00:24:00
TXN00182,U3872,Debit Card,145.75,1,2025-09-16 21:46:00
TXN00183,U6434,Net Banking,1538.47,1,2025-09-16 11:11:00
TXN00184,U2893,Wallet,4121.88,1,2025-09-17 01:15:00
TXN00185,U3757,UPI,1718.13,1,2025-09-16 19:17:00
TXN00186,U1368,UPI,1550.26,1,2025-09-16 19:18:00
TXN00187,U2633,Net Banking,1357.38,1,2025-09-16 16:55:00
TXN00188,U6109,UPI,513.97,1,2025-09-16 18:08:00
TXN00189,U3734,Debit Card,3927.74,1,2025-09-16 21:55:00
TXN00190,U4763,Wallet,525.48,1,2025-09-16 10:35:00
TXN00191,U7218,Credit Card,1821.04,1,2025-09-16 22:06:00
TXN00192,U4070,Net Banking,2546.0,1,2025-09-16 15:04:00
TXN00193,U7702,Net Banking,2998.78,0,2025-09-16 18:23:00
TXN00194,U5268,Debit Card,3618.75,1,2025-09-16 19:15:00
TXN00195,U6215,Credit Card,4097.51,1,2025-09-17 08:06:00
TXN00196,U8958,Wallet,4812.17,1,2025-09-16 17:27:00
TXN00197,U2273,Debit Card,2451.04,1,2025-09-16 17:27:00
TXN00198,U6864,Wallet,1292.68,1,2025-09-16 14:56:00
TXN00199,U8588,Wallet,1166.01,1,2025-09-17 09:36:00
TXN00200,U1745,UPI,991.46,1,2025-09-17 04:13:00
TXN00201,U4935,Wallet,4373.13,1,2025-09-16 21:32:00
TXN00202,U8863,Net Banking,135.14,1,2025-09-17 00:32:00
TXN00203,U5551,Net Banking,1677.87,1,2025-09-17 03:16:00
TXN00204,U5433,Net Banking,2410.4,1,2025-09-16 15:18:00
TXN00205,U4070,Wallet,2446.03,1,2025-09-17 07:35:00
TXN00206,U8555,Debit Card,1975.79,1,2025-09-16 20:50:00
TXN00207,U8576,Net Banking,1237.86,1,2025-09-16 18:48:00
TXN00208,U7922,UPI,3580.78,0,2025-09-16 12:02:00
TXN00209,U9242,Wallet,1497.31,1,2025-09-17 00:22:00
TXN00210,U3533,Wallet,2751.93,1,2025-09-16 19:34:00
TXN00211,U4332,Wallet,3733.48,1,2025-09-17 00:53:00
TXN00212,U2105,Wallet,3278.74,1,2025-09-17 04:52:00
TXN00213,U7984,Wallet,1259.57,1,2025-09-17 06:35:00
TXN00214,U6973,Debit Card,1720.14,1,2025-09-16 15:27:00
TXN00215,U8447,Debit Card,448.94,0,2025-09-17 02:47:00
TXN00216,U6013,Debit Card,154.8,1,2025-09-17 01:07:00
TXN00217,U1889,Net Banking,4642.05,1,2025-09-16 16:07:00
TXN00218,U8507,Credit Card,4373.75,1,2025-09-16 14:25:00
TXN00219,U4071,UPI,469.23,1,2025-09-17 09:16:00
TXN00220,U3670,Credit Card,2688.75,1,2025-09-17 06:22:00
TXN00221,U4115,Debit Card,3885.61,1,2025-09-16 23:25:00
TXN00222,U6154,Debit Card,1386.3,1,2025-09-17 08:06:00
TXN00223,U7354,UPI,2323.98,1,2025-09-16 22:36:00
TXN00224,U7547,Credit Card,2690.55,1,2025-09-17 02:23:00
TXN00225,U2624,Net Banking,4262.8,1,2025-09-17 09:41:00
TXN00226,U4605,Net Banking,2956.09,1,2025-09-16 23:59:00
TXN00227,U4975,UPI,2819.32,1,2025-09-17 04:45:00
TXN00228,U4098,Debit Card,556.65,1,2025-09-16 22:58:00
TXN00229,U9156,Debit Card,2862.46,1,2025-09-17 04:51:00
TXN00230,U6824,UPI,215.41,0,2025-09-16 23:33:00
TXN00231,U5827,Wallet,1230.65,1,2025-09-17 05:02:00
TXN00232,U4690,UPI,607.33,1,2025-09-16 21:31:00
TXN00233,U4606,Credit Card,3755.96,1,2025-09-17 00:53:00
TXN00234,U7113,Net Banking,3084.45,1,2025-09-17 05:02:00
TXN00235,U7378,UPI,2213.25,1,2025-09-16 20:26:00
TXN00236,U2340,Credit Card,3716.86,1,2025-09-16 22:47:00
TXN00237,U7717,Credit Card,4418.56,1,2025-09-17 01:16:00
TXN00238,U1263,Credit Card,1649.76,1,2025-09-16 18:39:00
TXN00239,U1526,Debit Card,4710.44,1,2025-09-17 04:19:00
TXN00240,U1741,Wallet,4219.35,1,2025-09-16 21:10:00
TXN00241,U9981,Net Banking,3548.23,1,2025-09-17 00:46:00
TXN00242,U3210,Net Banking,4079.0,1,2025-09-16 17:25:00
TXN00243,U9688,Credit Card,1506.93,1,2025-09-16 22:34:00
TXN00244,U5594,Credit Card,4677.96,1,2025-09-16 15:46:00
TXN00245,U6634,Wallet,4387.95,1,2025-09-17 04:40:00
TXN00246,U4488,UPI,1236.52,1,2025-09-16 10:51:00
TXN00247,U3451,Debit Card,4234.49,1,2025-09-16 20:23:00
TXN00248,U6887,UPI,699.01,1,2025-09-16 16:12:00
TXN00249,U4463,Net Banking,2880.98,1,2025-09-17 02:44:00
TXN00250,U2812,Net Banking,1383.26,1,2025-09-16 10:54:00
TXN00251,U2420,UPI,1425.3,1,2025-09-16 21:01:00
TXN00252,U7679,Wallet,3141.61,1,2025-09-16 21:21:00
TXN00253,U1848,UPI,1041.27,1,2025-09-17 04:32:00
TXN00254,U9627,Credit Card,1349.72,0,2025-09-17 02:23:00
TXN00255,U6142,Wallet,665.71,1,2025-09-17 09:21:00
TXN00256,U9991,Wallet,179.19,0,2025-09-16 16:21:00
TXN00257,U1628,Credit Card,4606.45,1,2025-09-17 07:56:00
TXN00258,U3897,Credit Card,2424.42,1,2025-09-16 16:24:00
TXN00259,U9341,Credit Card,2305.72,1,2025-09-17 08:18:00
TXN00260,U4345,Wallet,3968.92,1,2025-09-16 18:37:00
TXN00261,U9982,Net Banking,2878.93,0,2025-09-17 05:51:00
TXN00262,U3151,Net Banking,2714.29,0,2025-09-16 14:33:00
TXN00263,U6635,UPI,831.08,1,2025-09-16 17:31:00
TXN00264,U6240,Credit Card,117.68,1,2025-09-17 02:29:00
TXN00265,U4175,Wallet,3786.99,1,2025-09-17 04:18:00
TXN00266,U3669,Net Banking,2774.38,1,2025-09-16 10:15:00
TXN00267,U4576,Debit Card,747.54,1,2025-09-16 11:56:00
TXN00268,U9149,Credit Card,4946.49,1,2025-09-16 15:43:00
TXN00269,U2746,Wallet,3541.39,1,2025-09-17 01:41:00
TXN00270,U7398,Credit Card,4423.83,0,2025-09-16 20:04:00
TXN00271,U1175,Net Banking,879.53,0,2025-09-16 10:06:00
TXN00272,U8240,Debit Card,3564.48,1,2025-09-17 06:15:00
TXN00273,U8412,Wallet,4540.68,1,2025-09-16 12:27:00
TXN00274,U6526,Credit Card,4816.77,1,2025-09-17 03:12:00
TXN00275,U5294,Debit Card,4368.32,1,2025-09-16 18:48:00
TXN00276,U8869,Credit Card,1076.47,1,2025-09-17 06:06:00
TXN00277,U4127,UPI,2117.42,1,2025-09-16 17:45:00
TXN00278,U2524,Debit Card,856.05,1,2025-09-16 12:18:00
TXN00279,U9508,Credit Card,154.53,1,2025-09-16 20:02:00
TXN00280,U8657,Net Banking,4169.46,1,2025-09-17 00:10:00
TXN00281,U1384,UPI,1001.77,1,2025-09-16 16:13:00
TXN00282,U2781,Debit Card,4196.41,0,2025-09-17 07:22:00
TXN00283,U2159,Debit Card,753.34,0,2025-09-16 22:15:00
TXN00284,U7301,Debit Card,100.75,1,2025-09-16 20:15:00
TXN00285,U4745,UPI,1210.14,1,2025-09-16 21:47:00
TXN00286,U5551,UPI,423.46,1,2025-09-16 14:08:00
TXN00287,U8029,Wallet,600.07,1,2025-09-17 01:59:00
TXN00288,U2871,Debit Card,3501.52,1,2025-09-17 09:17:00
TXN00289,U2130,Credit Card,3717.49,1,2025-09-17 00:46:00
TXN00290,U9422,Wallet,774.76,1,2025-09-16 13:50:00
TXN00291,U9847,Credit Card,4011.8,1,2025-09-17 00:10:00
TXN00292,U2460,Debit Card,1320.48,1,2025-09-17 01:30:00
TXN00293,U3350,Wallet,487.29,1,2025-09-16 14:51:00
TXN00294,U2531,Debit Card,3824.19,1,2025-09-17 01:44:00
TXN00295,U7707,UPI,1508.06,1,2025-09-17 02:50:00
TXN00296,U2697,Net Banking,4273.1,1,2025-09-16 18:57:00
TXN00297,U1522,Net Banking,857.23,1,2025-09-16 23:19:00
TXN00298,U3609,Credit Card,1300.46,1,2025-09-17 02:32:00
TXN00299,U9082,Debit Card,594.17,1,2025-09-16 19:56:00
TXN00300,U4983,Debit Card,973.62,1,2025-09-16 22:34:00
TXN00301,U8250,UPI,3034.64,1,2025-09-16 17:30:00
TXN00302,U6689,Credit Card,1187.53,1,2025-09-17 04:39:00
TXN00303,U1350,UPI,3717.54,0,2025-09-16 13:33:00
TXN00304,U6998,Debit Card,4608.35,1,2025-09-17 03:33:00
TXN00305,U2715,Wallet,974.62,0,2025-09-17 01:42:00
TXN00306,U8931,Credit Card,1142.6,0,2025-09-17 03:13:00
TXN00307,U8161,Debit Card,412.56,1,2025-09-16 23:54:00
TXN00308,U6322,Debit Card,1888.97,1,2025-09-17 04:18:00
TXN00309,U1708,Credit Card,1694.8,1,2025-09-16 19:52:00
TXN00310,U4567,Debit Card,2810.8,0,2025-09-17 07:59:00
TXN00311,U6789,UPI,2514.74,1,2025-09-17 08:57:00
TXN00312,U7449,Debit Card,4024.26,1,2025-09-17 08:42:00
TXN00313,U1405,Net Banking,3942.0,1,2025-09-16 20:34:00
TXN00314,U1497,Wallet,2787.1,1,2025-09-17 04:07:00
TXN00315,U8086,Credit Card,1745.74,1,2025-09-17 02:30:00
TXN00316,U1556,Debit Card,2444.31,1,2025-09-17 01:47:00
TXN00317,U5196,Wallet,818.19,1,2025-09-17 06:55:00
TXN00318,U6967,UPI,4314.17,0,2025-09-17 02:02:00
TXN00319,U2051,UPI,4157.19,1,2025-09-16 23:47:00
TXN00320,U4450,UPI,3910.81,1,2025-09-16 20:03:00
TXN00321,U3218,Debit Card,336.85,1,2025-09-16 23:54:00
TXN00322,U9634,Net Banking,4768.83,1,2025-09-17 08:11:00
TXN00323,U2596,Wallet,896.06,1,2025-09-16 15:17:00
TXN00324,U8927,Credit Card,4366.58,1,2025-09-16 19:19:00
TXN00325,U7202,Wallet,4247.28,0,2025-09-17 01:51:00
TXN00326,U2816,Debit Card,2624.24,1,2025-09-16 10:49:00
TXN00327,U3894,Wallet,1196.87,0,2025-09-16 16:45:00
TXN00328,U3872,Debit Card,4493.71,1,2025-09-16 21:14:00
TXN00329,U8155,Net Banking,2852.89,1,2025-09-16 15:29:00
TXN00330,U4121,UPI,3194.27,1,2025-09-16 11:40:00
TXN00331,U3388,UPI,768.82,1,2025-09-17 04:01:00
TXN00332,U3049,Net Banking,2757.11,1,2025-09-16 11:45:00
TXN00333,U2875,Wallet,4805.76,1,2025-09-17 08:13:00
TXN00334,U4362,Net Banking,3735.72,1,2025-09-16 13:10:00
TXN00335,U3981,UPI,1593.19,1,2025-09-17 02:23:00
TXN00336,U8395,UPI,645.53,1,2025-09-16 15:47:00
TXN00337,U2024,UPI,3101.98,1,2025-09-16 14:54:00
TXN00338,U1148,Net Banking,646.01,1,2025-09-17 05:07:00
TXN00339,U3656,Debit Card,3686.3,1,2025-09-16 17:11:00
TXN00340,U2298,Net Banking,319.5,0,2025-09-17 06:54:00
TXN00341,U4679,Debit Card,649.39,1,2025-09-17 04:27:00
TXN00342,U5401,Net Banking,2740.79,0,2025-09-17 09:55:00
TXN00343,U7847,UPI,547.76,0,2025-09-16 19:22:00
TXN00344,U2739,Debit Card,2370.95,1,2025-09-16 18:41:00
TXN00345,U5990,Net Banking,1524.07,0,2025-09-17 02:01:00
TXN00346,U6864,Wallet,4001.99,1,2025-09-17 06:57:00
TXN00347,U8371,Debit Card,1410.9,1,2025-09-16 13:29:00
TXN00348,U6947,Wallet,172.6,0,2025-09-16 14:59:00
TXN00349,U6204,Credit Card,2791.5,1,2025-09-16 17:26:00
TXN00350,U5425,UPI,3341.45,1,2025-09-16 10:55:00
TXN00351,U8691,UPI,4151.81,1,2025-09-17 02:51:00
TXN00352,U2849,Wallet,587.05,1,2025-09-17 00:36:00
TXN00353,U8843,Net Banking,559.1,1,2025-09-16 16:32:00
TXN00354,U4266,UPI,4827.94,1,2025-09-17 04:30:00
TXN00355,U8142,Debit Card,664.26,1,2025-09-17 00:26:00
TXN00356,U5391,Net Banking,2764.65,1,2025-09-16 18:40:00
TXN00357,U2730,Credit Card,3775.44,1,2025-09-16 11:06:00
TXN00358,U5921,Net Banking,4863.85,1,2025-09-16 10:59:00
TXN00359,U4347,Credit Card,4172.04,1,2025-09-17 02:54:00
TXN00360,U4820,Credit Card,3301.12,1,2025-09-16 13:09:00
TXN00361,U6120,Credit Card,2006.09,1,2025-09-17 02:02:00
TXN00362,U6710,Credit Card,484.75,1,2025-09-16 14:34:00
TXN00363,U5494,Debit Card,880.91,1,2025-09-17 00:04:00
TXN00364,U1769,Debit Card,2621.09,1,2025-09-17 04:25:00
TXN00365,U9342,Debit Card,1688.71,1,2025-09-16 16:47:00
TXN00366,U3101,UPI,912.78,1,2025-09-17 00:40:00
TXN00367,U6669,UPI,1060.01,1,2025-09-16 14:15:00
TXN00368,U7508,Debit Card,1139.25,1,2025-09-16 20:39:00
TXN00369,U3332,Net Banking,4924.24,1,2025-09-17 06:25:00
TXN00370,U6416,Debit Card,1895.58,1,2025-09-16 16:42:00
TXN00371,U5030,Net Banking,1498.78,1,2025-09-16 21:46:00
TXN00372,U6049,Credit Card,610.46,1,2025-09-16 18:32:00
TXN00373,U3969,Net Banking,3679.41,1,2025-09-16 13:17:00
TXN00374,U3431,UPI,2664.1,1,2025-09-17 01:30:00
TXN00375,U4608,Net Banking,3075.78,1,2025-09-17 07:51:00
TXN00376,U8810,UPI,3298.92,1,2025-09-16 11:47:00
TXN00377,U5685,Credit Card,2416.3,1,2025-09-17 03:29:00
TXN00378,U9485,Debit Card,4621.94,0,2025-09-16 14:11:00
TXN00379,U5407,Net Banking,3004.01,1,2025-09-16 16:04:00
TXN00380,U9875,Wallet,1040.88,0,2025-09-17 07:35:00
TXN00381,U6707,Credit Card,4122.8,1,2025-09-16 17:57:00
TXN00382,U6476,UPI,2136.99,1,2025-09-16 17:05:00
TXN00383,U5426,Net Banking,400.15,1,2025-09-16 13:58:00
TXN00384,U6433,Debit Card,290.25,1,2025-09-16 23:17:00
TXN00385,U9981,Debit Card,723.03,1,2025-09-16 21:44:00
TXN00386,U8344,Credit Card,3226.57,1,2025-09-17 08:33:00
TXN00387,U8533,Debit Card,4736.9,1,2025-09-17 05:06:00
TXN00388,U3857,Wallet,3994.07,1,2025-09-16 14:28:00
TXN00389,U8768,Net Banking,2483.34,1,2025-09-16 13:31:00
TXN00390,U3365,Wallet,1079.94,1,2025-09-17 03:35:00
TXN00391,U6909,Wallet,3602.82,1,2025-09-16 20:30:00
TXN00392,U2341,UPI,3710.05,1,2025-09-16 13:36:00
TXN00393,U4569,Net Banking,4558.92,0,2025-09-16 18:42:00
TXN00394,U1006,Net Banking,2554.51,1,2025-09-16 21:54:00
TXN00395,U9002,Debit Card,1860.96,0,2025-09-16 21:55:00
TXN00396,U3897,Net Banking,1727.87,1,2025-09-17 03:24:00
